model_family,config,n_clusters,silhouette,davies_bouldin,calinski_harabasz,noise_points
DBSCAN,"eps=0.3, min_samples=10",5,0.6925072807329404,0.371790898632752,624.3328513880657,99937
Hierarchical,"linkage=ward, k=2",2,0.25086171082375713,1.5149513129447911,767.2262071682716,0
KMeans,k=2,2,0.21452206996802567,1.6993768592647247,20554.085760530117,0
