0
age
income
purchase_amount
promotion_usage
satisfaction_score
freq_multiplier
spend_per_purchase_proxy
promo_intensity
education
loyalty_status
purchase_frequency
gender_Female
gender_Male
region_East
region_North
region_South
region_West
product_category_Beauty
product_category_Books
product_category_Clothing
product_category_Electronics
product_category_Food
product_category_Health
product_category_Home
age_band_25-34
age_band_35-44
age_band_45-54
age_band_<25
